# frequency  PSD
3.000854700854700963e-01 3.435706613196043341e-18
3.001709401709401481e-01 1.307900645815560378e-17
3.002564102564102555e-01 1.519561850294978866e-17
3.003418803418803629e-01 1.618858868895605651e-17
3.004273504273504147e-01 2.026375477420555450e-17
3.005128205128205221e-01 3.633979477446287601e-17
3.005982905982905740e-01 4.220362058734421338e-17
3.006837606837606813e-01 4.225808700316570219e-17
3.007692307692307887e-01 5.468712924021745683e-17
3.008547008547008406e-01 6.295617242270363957e-17
3.009401709401709479e-01 7.137922622794458755e-17
3.010256410256409998e-01 1.190071290809216863e-16
3.011111111111111072e-01 1.395711909023000655e-16
3.011965811965812145e-01 1.717458180464713066e-16
3.012820512820512664e-01 2.050516256075587806e-16
3.013675213675213738e-01 2.100847213303058349e-16
3.014529914529914256e-01 2.344488369456541355e-16
3.015384615384615330e-01 2.373157419593638975e-16
3.016239316239316404e-01 2.406291902290710815e-16
3.017094017094016922e-01 2.594259959423845658e-16
3.017948717948717996e-01 2.620376687854184640e-16
3.018803418803419070e-01 2.761354390460196299e-16
3.019658119658119588e-01 3.049394729273707965e-16
3.020512820512820662e-01 3.788012641030233719e-16
3.021367521367521181e-01 3.947884310422099829e-16
3.022222222222222254e-01 3.969359785389998547e-16
3.023076923076923328e-01 4.008319361051779999e-16
3.023931623931623847e-01 4.018375514353254506e-16
3.024786324786324920e-01 4.065877141289769964e-16
3.025641025641025439e-01 4.081423526595956154e-16
3.026495726495726513e-01 4.132355934318583530e-16
3.027350427350427586e-01 4.147379781942027042e-16
3.028205128205128105e-01 4.280339722481933805e-16
3.029059829059829179e-01 4.285558513883337250e-16
3.029914529914529697e-01 4.336803791029681792e-16
3.030769230769230771e-01 4.353035766257299036e-16
3.031623931623931845e-01 4.375690027780566178e-16
3.032478632478632363e-01 4.398937415237208815e-16
3.033333333333333437e-01 4.544163240490248925e-16
3.034188034188033956e-01 4.547733309276189589e-16
3.035042735042735029e-01 4.657507168060558191e-16
3.035897435897436103e-01 4.777820117261907362e-16
3.036752136752136622e-01 4.782929113497421885e-16
3.037606837606837695e-01 4.873765950478720883e-16
3.038461538461538214e-01 4.983185614123062009e-16
3.039316239316239288e-01 5.068621815813983148e-16
3.040170940170940361e-01 5.117896828410122805e-16
3.041025641025640880e-01 5.192172307566648193e-16
